;DATASET;EMISSIEJAAR;STOFCODE;STOF;CODE_EMISSIEOORZAAK;EMISSIEOORZAAK;CODE_BEDRIJF;NAAM_BEDRIJF;SBI_CODE;SBI;XCO_BEDRIJF;YCO_BEDRIJF;IDG_CODE;IDG_NAAM;EMISSIEPUNT_CODE;EMISSIEPUNT_NAAM;XCO_EMISSIEPUNT;YCO_EMISSIEPUNT;TYPE;HOOGTE;LENGTE;BREEDTE;HOEK;UITSTROOMOPENING_M2;TEMPERATUUR;UITTREEDSNELHEID;VOLUMESTROOM;WARMTEINHOUD;EMISSIE;XCO_EMISSIEPUNT_HARM;YCO_EMISSIEPUNT_HARM;XCO_BEDRIJF_HARM;YCO_BEDRIJF_HARM
894;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T106200;SBI 25 (per bedrijf): Metaalproductenindustrie (exclusief machinebouw);43210;AHC Benelux B.V.;25610;Oppervlaktebehandeling en bekleding van metaal;158280;382800;pub_0210;Metaalelektro;46778;LT-ketel 5;158280;382800;P;5.0;;;;0.008;;;;0.001;44677.32;158280;382799;158280;382799
895;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T106200;SBI 25 (per bedrijf): Metaalproductenindustrie (exclusief machinebouw);43210;AHC Benelux B.V.;25610;Oppervlaktebehandeling en bekleding van metaal;158280;382800;pub_0210;Metaalelektro;46779;Lucht inblaas verwarmer Concord 1;158280;382800;P;0.0;;;;1.69;;;;0.001;67015.98;158280;382799;158280;382799
896;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T106600;SBI 29 (per bedrijf): Auto-industrie;113;VDL Nedcar BV;29100;Vervaardiging van auto's;186200;339300;pub_0210;Metaalelektro;36247;Energy Centre ketels;186242;339219;P;18.0;;;;1.0;165.0;2.0;1.638;0.322;4925745.51990632;186242;339218;186200;339299
897;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T107600;SBI 01 (per bedrijf): Landbouw, jacht en dienstverlening voor de landbouw en jacht;115072;Seasun BV;1132;Teelt van groenten onder glas;55135;386645;pub_0105;Landbouwbedrijven;36709;WKK Ketels;55135;386645;P;7.0;;;;0.39;32.0;1710.0;667.0;17.128;672589.0;55135;386644;55135;386644
898;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T106100;SBI 22.2 (per bedrijf): Vervaardiging van producten van kunststof;115090;AFP Holland BV;22210;Vervaardiging van platen, folie, buizen en profielen van kunststof;192784;467112;pub_0213;Rubber- en kunstofverw. Industrie;41812;naverbrander;192784;467112;P;14.0;;;;0.28;133.0;8.0;2.3;0.357;274986.042075;192784;467111;192784;467111
899;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108500;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;115181;Rijnmond Energie;35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;83725;434099;pub_0503;Opwekking electriciteit;38372;Combustion Turbine Generator 11A + Ketel A;83882;434025;P;65.0;;;;28.0;102.0;16.0;446.0;51.539;184000000.0;83882;434024;83725;434098
900;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108500;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;115181;Rijnmond Energie;35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;83725;434099;pub_0503;Opwekking electriciteit;38373;Combustion Turbine Generator 11B + Ketel B;83908;434056;P;65.0;;;;28.0;103.0;16.0;461.0;53.865;191197000.0;83908;434055;83725;434098
901;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T106200;SBI 25 (per bedrijf): Metaalproductenindustrie (exclusief machinebouw);43216;SPGPrints;25990;Vervaardiging van overige producten van metaal n.e.g.;193450;405750;pub_0210;Metaalelektro;42135;Divers, overig, diffuus;193450;405750;P;5.0;;;;;;;;0.0;2502388.0;193450;405749;193450;405749
902;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T106600;SBI 29 (per bedrijf): Auto-industrie;43403;DAF Trucks N.V.;29100;Vervaardiging van auto's;164080;382500;pub_0210;Metaalelektro;44631;Harderij;164081;382433;P;13.0;;;;0.2;550.0;2.0;0.34;0.235;1834590.0;164081;382432;164080;382499
903;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100600;SBI 17 (per bedrijf): Vervaardiging van papier, karton en papier- en kartonwaren;60;Sappi Maastricht BV;17121;Vervaardiging van grafisch papier en karton;176620;318700;pub_0211;Papier(waren);41894;Divers, overig, diffuus;176620;318700;P;5.0;;;;0.0;;;;0.0;7880000.0;176620;318699;176620;318699
904;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T103000;SBI 20.3 (per bedrijf): Vervaardiging van verf, lak, vernis, inkt en mastiek;61213;PPG Coatings;20300;Vervaardiging van verf, vernis e.d., drukinkt en mastiek;156750;432750;pub_0304;Chemische Industrie overig;38995;CV-ketel 1 (gebouw 60);156750;432750;P;7.0;;;;0.49;130.0;0.0;0.02417;0.004;315409.0;156750;432749;156750;432749
905;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100201;SBI 10-12 (per bedrijf): Voedings- & genotmiddelenindustrie;61411;Sonac Vuren BV;10410;Vervaardiging van plantaardige en dierlijke oliën en vetten (geen margarine en andere spijsvetten);134570;427150;pub_0216;Voedings- en genotmiddelenindustrie;37393;Calcineeroven;134570;427150;P;13.0;;;;0.0;80.0;;3.3;0.288;10262107.0;134570;427149;134570;427149
906;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T101100;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;61418;SACHEM Europe BV;20149;Vervaardiging van organische basischemicaliën (geen petrochemische producten);146450;423280;pub_0301;Chemische Industrie basisproducten;36443;Stoomketels;146460;423280;P;6.0;;;;0.25;;;;0.25;3340969.0;146460;423279;146450;423279
