;DATASET;EMISSIEJAAR;STOFCODE;STOF;CODE_EMISSIEOORZAAK;EMISSIEOORZAAK;CODE_BEDRIJF;NAAM_BEDRIJF;SBI_CODE;SBI;XCO_BEDRIJF;YCO_BEDRIJF;IDG_CODE;IDG_NAAM;EMISSIEPUNT_CODE;EMISSIEPUNT_NAAM;XCO_EMISSIEPUNT;YCO_EMISSIEPUNT;TYPE;HOOGTE;LENGTE;BREEDTE;HOEK;UITSTROOMOPENING_M2;TEMPERATUUR;UITTREEDSNELHEID;VOLUMESTROOM;WARMTEINHOUD;EMISSIE;XCO_EMISSIEPUNT_HARM;YCO_EMISSIEPUNT_HARM;XCO_BEDRIJF_HARM;YCO_BEDRIJF_HARM
0;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T102700;SBI 20.15 (per bedrijf): Vervaardiging van kunstmeststoffen en stikstofverbindingen;115186;Yara Vlaardingen BV;20150;Vervaardiging van kunstmeststoffen en stikstofverbindingen;81938;435008;pub_0303;Chemische Industrie kunstmeststoffen;37488;Spec en sub;81830;434880;P;20.0;;;;2.0;;;;0.042;232583.5;81830;434879;81938;435007
1;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100201;SBI 10-12 (per bedrijf): Voedings- & genotmiddelenindustrie;11658;Farm Frites BV;10310;Vervaardiging van aardappelproducten;70714;426770;pub_0216;Voedings- en genotmiddelenindustrie;38888;TVW ketel;70645;426740;P;10.0;;;;0.78;130.0;4.0;3.333;0.505;19017904.0;70645;426739;70714;426769
2;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T101100;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;12135;ExxonMobil Chemical Holland BV (ROP van RPI);20141;Vervaardiging van petrochemische producten;72300;438500;pub_0301;Chemische Industrie basisproducten;7999;Schoorsteen hot oil fornuis;72250;438519;P;20.0;;;;0.0;;;;0.516;3358327.0;72250;438518;72300;438499
3;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T102501;SBI 20.141 (per bedrijf): Vervaardiging van petrochemische producten;12135;ExxonMobil Chemical Holland BV (ROP van RPI);20141;Vervaardiging van petrochemische producten;72300;438500;pub_0301;Chemische Industrie basisproducten;36093;EMCHBV ROP;72320;438505;P;29.0;;;;0.0;;;;0.004;179952.0;72320;438504;72300;438499
4;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108500;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;49006;RWE Generation NL B.V.;35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;99234;410988;pub_0503;Opwekking electriciteit;44561;Schoorsteen STEG;99087;411093;P;65.0;;;;6.92;82.0;19.0;130.0;11.684;345786400.0;99087;411092;99234;410987
5;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100201;SBI 10-12 (per bedrijf): Voedings- & genotmiddelenindustrie;62010;Nestle Nederland BV (Nunspeet);10860;Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding;182480;488580;pub_0216;Voedings- en genotmiddelenindustrie;37076;Divers, overig, diffuus;182480;488580;P;5.0;;;;;;;;0.0;1821018.0;182480;488579;182480;488579
6;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100201;SBI 10-12 (per bedrijf): Voedings- & genotmiddelenindustrie;62010;Nestle Nederland BV (Nunspeet);10860;Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding;182480;488580;pub_0216;Voedings- en genotmiddelenindustrie;47064;Ingredienten (LUWA);182576;488586;P;27.0;;;;0.64;;;;0.03;483349.0;182576;488585;182480;488579
7;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T104702;SBI 24.45 (per bedrijf) Vervaardiging van overige non-ferrometalen, aluminium;43856;Sapa Profiles NL BV (Drunen);24420;Vervaardiging van aluminium;138700;411500;pub_0201;Basismetaal;38317;Homogeniseeroven IV (IN8);138700;411500;P;12.0;;;;0.28;185.0;17857.0;5000.0;0.306944444444444;803000.0;138700;411499;138700;411499
8;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T104201;SBI 38.2 (per bedrijf): Afvalinzameling/beh, AVI's;44007;SUEZ ReEnergy Roosendaal;38110;Inzameling van onschadelijk afval;89550;395830;pub_0901;AVI's;41734;Schoorsteen BAVIRO lijn 1;89550;395830;P;80.0;;;;1.8;135.0;21.0;37.5;5.922;183003500.0;89550;395829;89550;395829
9;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108500;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;44008;Ennatuurlijk BV (Helmond);35140;Handel in elektriciteit en in gas via leidingen;175950;386100;pub_0503;Opwekking electriciteit;37297;STEG 1;175905;386080;P;45.0;;;;8.0;;;;9.81;16138445.0;175905;386079;175950;386099
10;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108502;SBI 35.12 (per bedrijf): Transportnet voor aardgas;61517;Gasunie (Zweekhorst);35120;Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water;202845;441955;pub_0502;Olie- gaswinning land;9044;Testen No break en aggregaten;203000;442080;P;5.0;;;;1.0;283.0;0.0;0.01;0.003;1049.45426337975;203000;442079;202845;441954
11;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108502;SBI 35.12 (per bedrijf): Transportnet voor aardgas;61517;Gasunie (Zweekhorst);35120;Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water;202845;441955;pub_0502;Olie- gaswinning land;35618;Divers, overig, diffuus;203000;442080;P;5.0;;;;0.0;;;;0.0;261544.54573662;203000;442079;202845;441954
12;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T102800;SBI 20.16 (per bedrijf): Vervaardiging van kunststof in primaire vorm;81202;Aliancys Nederland B.V.;20160;Vervaardiging van kunststof in primaire vorm;255180;523500;pub_0301;Chemische Industrie basisproducten;38598;Incinerator 3 Snb II;255270;522970;P;10.0;;;;0.0;250.0;64.0;21.0;6.417;817618.5559;255270;522969;255180;523499
13;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100201;SBI 10-12 (per bedrijf): Voedings- & genotmiddelenindustrie;82002;FrieslandCampina Domo (Beilen);10510;Vervaardiging van zuivelproducten (geen consumptie-ijs);231300;541530;pub_0216;Voedings- en genotmiddelenindustrie;42346;Torens;231300;541530;P;30.0;;;;0.0;150.0;;0.769;0.136;5039910.99;231300;541529;231300;541529
14;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T102300;SBI 24.4/24.5 (per bedrijf): Basismetaalindustrie, vervaardiging van non-ferro metalen en gieten van metalen;83501;Rademakers Gieterij BV;24510;Gieten van ijzer;261750;526950;pub_0201;Basismetaal;40756;Divers, overig, diffuus;261750;526950;P;5.0;;;;;;;;0.0;892000.0;261750;526949;261750;526949
15;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108500;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;24000;Nuon Power Generation BV (Hemweg);35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;118246;490968;pub_0503;Opwekking electriciteit;44635;HW 09;117959;491138;P;60.0;;;;8.0;82.0;11.0;543.0;48.804;628372290.0;117959;491137;118246;490967
16;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108400;SBI 30.1 (per bedrijf): Scheepsbouw;10921;Damen Shiprepair Rotterdam;33150;Reparatie en onderhoud van schepen;85500;435500;pub_0210;Metaalelektro;39561;verwarmingsketels werkplaats;85500;435500;P;25.0;;;;0.2;;;;3.2;817911.75;85500;435499;85500;435499
17;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108500;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;10953;E.On Generations Den Haag;35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;79821;454750;pub_0503;Opwekking electriciteit;40785;EDH1;79810;454745;P;84.0;;;;8.6;;;;5.9;33564000.0;79810;454744;79821;454749
18;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108500;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;10953;E.On Generations Den Haag;35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;79821;454750;pub_0503;Opwekking electriciteit;40786;EDH2;79815;454735;P;84.0;;;;8.6;;;;5.9;93700000.0;79815;454734;79821;454749
19;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108500;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;10953;E.On Generations Den Haag;35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;79821;454750;pub_0503;Opwekking electriciteit;40789;HK189 en HK198;79810;454790;P;40.0;;;;0.5;;;;0.3;307.5747;79810;454789;79821;454749
20;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100201;SBI 10-12 (per bedrijf): Voedings- & genotmiddelenindustrie;62802;Ekro BV;10110;Slachterijen (geen pluimvee-);195066;465803;pub_0216;Voedings- en genotmiddelenindustrie;45519;Stookinstallatie;195286;465645;P;10.0;;;;0.2;185.0;11.0;2.22;0.493;1686191.0;195286;465644;195066;465802
21;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T105000;SBI 10.1 (per bedrijf): Slachterijen en vleesverwerking;62806;Vion Apeldoorn;10110;Slachterijen (geen pluimvee-);195500;465700;pub_0216;Voedings- en genotmiddelenindustrie;45116;CO2 bedwelmingsinstallatie;195534;465810;P;0.0;;;;5.0;;;;0.01;425671.0;195534;465809;195500;465699
22;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100201;SBI 10-12 (per bedrijf): Voedings- & genotmiddelenindustrie;62812;Compaxo Vlees Zevenaar BV;10110;Slachterijen (geen pluimvee-);203400;438700;pub_0216;Voedings- en genotmiddelenindustrie;25094;schoorsteen stoomketel;203400;438700;P;12.0;;;;0.2;192.0;5.0;0.92;0.213;3783000.0;203400;438699;203400;438699
23;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100201;SBI 10-12 (per bedrijf): Voedings- & genotmiddelenindustrie;62925;Aviko BV;10310;Vervaardiging van aardappelproducten;210103;453484;pub_0216;Voedings- en genotmiddelenindustrie;44585;ketel 1;210114;453399;P;16.0;;;;0.5;150.0;2.0;1.0;0.177;901000.0;210114;453398;210103;453483
24;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T107601;SBI 59/60/90/91/93/96 (per bedrijf): Cultuur, sport, recreatie en overige dienstverlening;38002;Stichting AL-terrein;94997;Overige belangenbehartiging n.e.g.;141390;458900;pub_1201;Energiegebruik en processen Handel, Diensten en Overheid (HDO);44557;Grote schoorsteen;141439;459064;P;63.0;;;;2.27;70.0;1.0;1.7206;0.128;5996358.0;141439;459063;141390;458899
25;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T101100;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;11111;Ashland Industries Nederland B.V.;20160;Vervaardiging van kunststof in primaire vorm;102050;424450;pub_0301;Chemische Industrie basisproducten;35157;B & R;102167;424441;P;16.0;;;;0.0;250.0;;0.905;0.277;4974138.0;102167;424440;102050;424449
26;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T101100;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;11111;Ashland Industries Nederland B.V.;20160;Vervaardiging van kunststof in primaire vorm;102050;424450;pub_0301;Chemische Industrie basisproducten;35159;EVW I;102158;424438;P;20.0;;;;0.0;250.0;;1.6025;0.49;6174792.0;102158;424437;102050;424449
27;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108500;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;201571;Nuon HWC Westervoort;35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;195956;441103;pub_0503;Opwekking electriciteit;37127;Schoorsteen;195956;441103;P;25.0;;;;6.0;103.0;0.0;1.8;0.21;1159747.0;195956;441102;195956;441102
28;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T102300;SBI 24.4/24.5 (per bedrijf): Basismetaalindustrie, vervaardiging van non-ferro metalen en gieten van metalen;63508;Nijmeegsche IJzergieterij BV;24510;Gieten van ijzer;184127;428648;pub_0201;Basismetaal;35008;Divers, overig, diffuus;184127;428648;P;5.0;;;;0.0;;;;0.0;17498.0;184127;428647;184127;428647
29;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T106200;SBI 25 (per bedrijf): Metaalproductenindustrie (exclusief machinebouw);202214;Greif Nederland BV;25910;Vervaardiging van stalen vaten en dergelijke;74652;435929;pub_0210;Metaalelektro;42143;Naverbrander_en_RTO;74652;435929;P;15.0;;;;3.2;100.0;3.0;10.6;1.198;2757340.0;74652;435928;74652;435928
30;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T101702;SBI 20.5 (per bedrijf): Overige chemische producten;41106;Intern. Flav. & Fragranc. I.F.F. BV;20530;Vervaardiging van etherische oliën;131469;399574;pub_0304;Chemische Industrie overig;41423;stoomketels;131610;399600;P;15.0;;;;0.0;;;;3.57;6832769.0;131610;399599;131469;399573
31;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T106100;SBI 22.2 (per bedrijf): Vervaardiging van producten van kunststof;41113;Synbra Technology BV;22230;Vervaardiging van kunststofproducten voor de bouw;103026;404397;pub_0213;Rubber- en kunstofverw. Industrie;44645;KPR_RTO;103025;404396;P;7.0;;;;3.61;62.9;4.0;15.523;1.015;391182.0;103025;404395;103026;404396
32;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T102501;SBI 20.141 (per bedrijf): Vervaardiging van petrochemische producten;51104;Dow Benelux BV (Hoek);20141;Vervaardiging van petrochemische producten;43193;373788;pub_0301;Chemische Industrie basisproducten;38451;FAKKEL LHC TANKPARK LE31;42507;374557;P;65.0;;;;0.3;;;;0.149;865888.9;42507;374556;43193;373787
33;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T111201;SBI 38.2 (per bedrijf): Behandeling van afval;64005;ARN B.V.;38210;Behandeling van onschadelijk afval;183067;428715;pub_0901;AVI's;37154;Divers, overig, diffuus;183067;428715;P;5.0;;;;0.0;;;;0.0;159596.0;183067;428714;183067;428714
34;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100600;SBI 17 (per bedrijf): Vervaardiging van papier, karton en papier- en kartonwaren;64360;Parenco B.V.;17121;Vervaardiging van grafisch papier en karton;178450;442450;pub_0211;Papier(waren);34771;Wervelbedoven K62;178579;442458;P;60.0;;;;4.52;56.0;4.0;18.01;1.017;142999999.99999997;178579;442457;178450;442449
35;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T107500;SBI 45 (per bedrijf): Handel en reparatie van auto's en motorfietsen;202990;Alco Energy Rotterdam;46712;Groothandel in vloeibare en gasvormige brandstoffen;72210;438230;pub_1201;Energiegebruik en processen Handel, Diensten en Overheid (HDO);38694;Scrubber;71936;438378;P;25.0;;;;1.13;25.0;11.0;12.6;0.21;13689475.0;71936;438377;72210;438229
36;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T102201;SBI 19.201 (per bedrijf): Aardolieraffinage;202992;Biopetrol Rotterdam BV;19201;Aardolieraffinage;80191;433416;pub_0401;Raffinage en verwerking;38683;Verwarmingsketel kantoor;80191;433416;P;1.0;;;;0.01;;;;1.0;2817604.0;80191;433415;80191;433415
37;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T104201;SBI 38.2 (per bedrijf): Afvalinzameling/beh, AVI's;202999;Van Gansewinkel (Stuurboord);38110;Inzameling van onschadelijk afval;200205;570315;pub_0901;AVI's;38873;Divers, overig, diffuus;200205;570315;P;5.0;;;;;;;;0.0;720796.0;200205;570314;200205;570314
38;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T106200;SBI 25 (per bedrijf): Metaalproductenindustrie (exclusief machinebouw);203086;JAZO Zevenaar BV;25120;Vervaardiging van metalen deuren, vensters en kozijnen;201642;437257;pub_0210;Metaalelektro;37484;Divers, overig, diffuus;201642;437257;P;5.0;;;;;;;;0.0;115000.0;201642;437256;201642;437256
39;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108500;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;12149;Uniper Centrale Maasvlakte;35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;61481;442057;pub_0503;Opwekking electriciteit;41684;Stack GT;61410;442164;P;40.0;;;;13.53;;;;1.0;186678.172425;61410;442163;61481;442056
40;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108500;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;12150;Uniper Centrale RoCa;35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;98212;440895;pub_0503;Opwekking electriciteit;39459;Divers, overig, diffuus;98212;440895;P;5.0;;;;0.0;;;;0.0;12400.0;98212;440894;98212;440894
41;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108500;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;12150;Uniper Centrale RoCa;35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;98212;440895;pub_0503;Opwekking electriciteit;39460;HK RoCa 3;98170;440906;P;30.0;;;;0.8;200.0;2.0;1.2;0.29;203000.0;98170;440905;98212;440894
42;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T104201;SBI 38.2 (per bedrijf): Afvalinzameling/beh, AVI's;12157;Zavin C.V.;38220;Behandeling van schadelijk afval;110200;425450;pub_0901;AVI's;35478;Schoorsteen afvalverbranding;110200;425450;P;60.0;;;;0.0;180.3;11.0;4.17;0.901;14010242.0;110200;425449;110200;425449
43;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108502;SBI 35.12 (per bedrijf): Transportnet voor aardgas;41502;Gasunie (Ravenstein);35120;Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water;173928;421577;pub_0502;Olie- gaswinning land;37187;3-1 RR-AVON;173928;421577;P;15.0;;;;28.27;429.0;2.0;48.43;25.931;1236005.0;173928;421576;173928;421576
44;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T102501;SBI 20.141 (per bedrijf): Vervaardiging van petrochemische producten;51104;Dow Benelux BV (Hoek);20141;Vervaardiging van petrochemische producten;43193;373788;pub_0301;Chemische Industrie basisproducten;38470;OPEN TERREIN ETHYLEEN-2;42630;374080;P;5.0;;;;0.0;;;;0.001;8581713.0;42630;374079;43193;373787
45;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T107200;SBI 41-43 (per bedrijf): Bouwnijverheid;200587;Martens Havenontvangstinst. Vlissingen BV;42111;Wegenbouw;38482;385075;pub_0802;Overig bouw;37198;stoomketel;38482;385075;P;12.0;;;;0.19;;;;0.5;54957.518925;38482;385074;38482;385074
46;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T107000;SBI 38.3 (per bedrijf): Voorbereiding tot recycling;200606;Theo Pouw Secundaire Bouwstoffen B.V.;38320;Gesorteerd materiaal voorbereiden tot recycling;251393;607100;pub_0904;Overige afvalbedrijven;37334;Schoorsteen thermische reinigingsinstallatie;250935;607160;P;44.0;;;;1.21;70.0;10.0;34.11;2.54;29918842.0;250935;607159;251393;607099
47;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T101702;SBI 20.5 (per bedrijf): Overige chemische producten;200664;Smit & Zoon BV;20590;Vervaardiging van overige chemische producten n.e.g.;152700;465019;pub_0304;Chemische Industrie overig;39467;Schoorsteen droger SD403;152700;465019;P;27.0;;;;0.79;70.0;5.0;4.16941;0.0;770644.68;152700;465018;152700;465018
48;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T102300;SBI 24.4/24.5 (per bedrijf): Basismetaalindustrie, vervaardiging van non-ferro metalen en gieten van metalen;201326;Brabant Alucast International;24530;Gieten van lichte metalen;166299;421695;pub_0201;Basismetaal;46999;Gloeiovens;166299;421695;P;12.0;;;;0.4;30.0;3.0;1.0;0.023;203241.15;166299;421694;166299;421694
49;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108500;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;201386;Sloe Centrale BV (Vlissingen);35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;37262;385782;pub_0503;Opwekking electriciteit;35525;Divers, overig, diffuus;37262;385782;P;5.0;;;;0.0;;;;0.0;22000.0;37262;385781;37262;385781
50;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108500;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;201386;Sloe Centrale BV (Vlissingen);35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;37262;385782;pub_0503;Opwekking electriciteit;35526;Hulpketel;37275;385810;P;45.0;;;;0.38;194.0;14.0;5.2;1.215;5276414.18290881;37275;385809;37262;385781
51;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100201;SBI 10-12 (per bedrijf): Voedings- & genotmiddelenindustrie;52612;Cargill Benelux BV;10620;Vervaardiging van zetmeel en zetmeelproducten;44338;361919;pub_0216;Voedings- en genotmiddelenindustrie;38355;emissiepunt 207;44338;361919;P;6.0;;;;0.2;;;;0.001;171517.0644075;44338;361918;44338;361918
52;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108502;SBI 35.12 (per bedrijf): Transportnet voor aardgas;71514;Gasunie Vilsteren/Ommen;35120;Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water;221116;501184;pub_0502;Olie- gaswinning land;38934;1-C-004 RR-AVON;221116;501184;P;13.0;;;;15.75;347.0;;32.78;14.147848;5321.0;221116;501183;221116;501183
53;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108502;SBI 35.12 (per bedrijf): Transportnet voor aardgas;71514;Gasunie Vilsteren/Ommen;35120;Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water;221116;501184;pub_0502;Olie- gaswinning land;38943;2-C-013 GE-FRS3;221116;501184;P;17.0;;;;8.75;443.0;;34.87;19.401668;429937.0;221116;501183;221116;501183
54;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108502;SBI 35.12 (per bedrijf): Transportnet voor aardgas;21528;Gasunie (Wieringermeer);35120;Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water;132250;530325;pub_0502;Olie- gaswinning land;35850;Res STAL-LAVAL;132281;530114;P;12.0;;;;11.0;233.0;3.0;31.56;8.956;29440.0;132281;530113;132250;530324
55;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T104706;SBI 24.45 (per bedrijf) Vervaardiging van overige non-ferrometalen, zink;43013;Nyrstar Budel BV;24430;Vervaardiging van lood, zink en tin;169900;361000;pub_0201;Basismetaal;38960;Divers, overig, diffuus;169900;361000;P;5.0;;;;0.0;;;;0.0;821454.0;169900;360999;169900;360999
56;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100201;SBI 10-12 (per bedrijf): Voedings- & genotmiddelenindustrie;72914;Abbott Laboratories B.V.;10860;Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding;201500;503488;pub_0216;Voedings- en genotmiddelenindustrie;45506;Emissiepunt sprinklerpomp;201346;503555;P;4.0;;;;0.01;100.0;10.0;0.1;0.011;1554.0;201346;503554;201500;503487
57;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T101100;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;10004;Lyondell Chemie Nederland BV;20141;Vervaardiging van petrochemische producten;76900;433220;pub_0301;Chemische Industrie basisproducten;35300;B-913 Proces Fornuis;76940;433280;P;25.0;;;;0.6;457.0;4.0;2.36;1.348;9295487.0;76940;433279;76900;433219
58;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T103600;SBI 20.59 (per bedrijf): Vervaardiging van overige chemische producten n.e.g.;21403;Cabot Norit Nederland B.V.;20590;Vervaardiging van overige chemische producten n.e.g.;116710;492900;pub_0304;Chemische Industrie overig;35256;AO 1+AO 3+AO 4;116644;492920;P;30.0;;;;0.5;;;;0.498;14210841.5;116644;492919;116710;492899
59;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108500;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;203505;Maasstroom Energie CV;35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;83747;433987;pub_0503;Opwekking electriciteit;38369;Hulpketel;83735;433934;P;37.0;;;;0.5;175.0;3.0;1.4;0.293;2750000.0;83735;433933;83747;433986
60;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T106200;SBI 25 (per bedrijf): Metaalproductenindustrie (exclusief machinebouw);203542;Galvano Hengelo BV;25610;Oppervlaktebehandeling en bekleding van metaal;249236;474213;pub_0210;Metaalelektro;45828;Emissiepunt productie;250258;479506;P;12.0;;;;2.0;20.0;6.0;12.0;0.123;151000.0;250258;479505;249236;474212
61;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T101100;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;10001;Nobian Industrial Chemicals BV (Botlek);20130;Vervaardiging van overige anorganische basischemicaliën;78660;432300;pub_0301;Chemische Industrie basisproducten;39656;F-3203    EVB;78690;432090;P;30.0;;;;0.0;;;;10.0;17409067.4608695;78690;432089;78660;432299
62;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T101100;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;10003;DSM Resins BV;20160;Vervaardiging van kunststof in primaire vorm;70183;442535;pub_0301;Chemische Industrie basisproducten;38955;Ten Horn Stoomketel (ketel 5);70140;442530;P;18.0;;;;0.5;;;;0.1525;188224.0;70140;442529;70183;442534
63;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100201;SBI 10-12 (per bedrijf): Voedings- & genotmiddelenindustrie;10097;Sime Darby Unimills B.V.;10410;Vervaardiging van plantaardige en dierlijke oliën en vetten (geen margarine en andere spijsvetten);103500;424600;pub_0216;Voedings- en genotmiddelenindustrie;44677;ERA (stomer);103524;424584;P;37.0;;;;0.0;312.0;;0.16;0.062;451000.0;103524;424583;103500;424599
64;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T101100;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;101105;PQ Silicas BV (Winschoten);20130;Vervaardiging van overige anorganische basischemicaliën;266100;573750;pub_0301;Chemische Industrie basisproducten;8093;Waterglasoven FU 4;266080;573750;P;35.0;;;;0.5;;;;0.33;11071888.0752;266080;573749;266100;573749
65;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T101100;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;101407;Zeolyst CV;20130;Vervaardiging van overige anorganische basischemicaliën;261647;592403;pub_0301;Chemische Industrie basisproducten;42475;calciner6202;261647;592403;P;15.0;;;;0.25;;;;0.075;1262301.0;261647;592402;261647;592402
66;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T101100;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;101407;Zeolyst CV;20130;Vervaardiging van overige anorganische basischemicaliën;261647;592403;pub_0301;Chemische Industrie basisproducten;42477;droger 6601;261647;592403;P;20.0;;;;0.36;;;;0.145;1043203.0;261647;592402;261647;592402
